rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Conjunction	and	Вселенная полна планет	Я хочу , чтобы мы в следующем десятилетии , создали космический телескоп , способный запечатлеть Землю около другой звезды и выяснить , может ли она поддержать жизнь
Implicit	Contingency.Cause.Result	so	Я хочу , чтобы мы в следующем десятилетии , создали космический телескоп , способный запечатлеть Землю около другой звезды и выяснить , может ли она поддержать жизнь	Мои коллеги из принстонской Лаборатории реактивного движения НАСА и я работаем над технологией , которая сможет сделать это в ближайшие годы
Explicit	Expansion.Conjunction	и	Астрономы верят , что у каждой звезды галактики есть планета	они полагают , что до 20 % из них имеют планеты , подобные Земле , на которых может существовать жизнь
Explicit	Comparison.Concession.Arg2-as-denier	но	они полагают , что до 20 % из них имеют планеты , подобные Земле , на которых может существовать жизнь	мы не видели ни одну из них
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Астрономы верят , что у каждой звезды галактики есть планета , и они полагают , что до 20 % из них имеют планеты , подобные Земле , на которых может существовать жизнь , но мы не видели ни одну из них	Мы только косвенно обнаружили их
Implicit	Expansion.Instantiation	for instance	Мы только косвенно обнаружили их	Это известная фотография НАСА « Светло-голубая точка
Explicit	Contingency.Purpose.Arg2-as-goal	чтобы	Она была сделана Вояджером в 1990-м , когда его развернули , при выходе из Солнечной системы	сфотографировать Землю с расстояния 6 млрд. км
Implicit	Expansion.Conjunction	and	Она была сделана Вояджером в 1990-м , когда его развернули , при выходе из Солнечной системы , чтобы сфотографировать Землю с расстояния 6 млрд. км	Я хочу сделать это для планеты , подобной Земле , рядом с другой звездой
Explicit	Hypophora	Почему	это трудно	"Чтоб понять , нужно представить , что мы берём космический телескоп Хаббл и поворачиваем его и перемещаем на орбиту Марса .
Мы увидим что-то такое , слегка размытое фото Земли , потому что у нас достаточно маленький телескоп вне орбиты Марса .
Теперь давайте отдалимся в 10 раз дальше .
Теперь мы на орбите Урана .
Она стала меньше , менее детальная и чёткая .
Мы ещё можем видеть маленькую луну , но давайте отдалимся опять десятикратно .
Вот мы на краю Солнечной системы , на поясе Койпера .
Теперь она совсем нечёткая .
Это та светло-голубая точка Карла Сагана .
Но давайте опять также отдалимся .
Теперь мы на Облаке Оорта , вне солнечной системы , и мы начинаем видеть Солнце , появляющееся в поле зрения и приближающееся к планете .
Снова отдалимся в десять раз .
Вот мы в системе Альфа Центавра , на ближайшей звезде , и планета пропала .
Всё , что мы видим — большое лучезарное изображение звезды которое в 10 млн. раз ярче , чем планета , которая должна быть в красном круге .
Вот это мы хотим видеть"
Implicit	Expansion.Conjunction	and	Почему мы этого ещё не сделали	Почему это трудно
Explicit	Contingency.Purpose.Arg2-as-goal	Чтоб	нужно представить , что мы берём космический телескоп Хаббл и поворачиваем его и перемещаем на орбиту Марса	понять
Implicit	Contingency.Cause.Result	so	Чтоб понять , нужно представить , что мы берём космический телескоп Хаббл и поворачиваем его и перемещаем на орбиту Марса	Мы увидим что-то такое , слегка размытое фото Земли , потому что у нас достаточно маленький телескоп вне орбиты Марса
Explicit	Contingency.Cause.Reason	потому что	Мы увидим что-то такое , слегка размытое фото Земли	у нас достаточно маленький телескоп вне орбиты Марса
Implicit	Expansion.Conjunction	and	Мы увидим что-то такое , слегка размытое фото Земли , потому что у нас достаточно маленький телескоп вне орбиты Марса	Теперь давайте отдалимся в 10 раз дальше
Implicit	Contingency.Cause.Result	so	Теперь давайте отдалимся в 10 раз дальше	Теперь мы на орбите Урана
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Теперь мы на орбите Урана	Она стала меньше , менее детальная и чёткая
Implicit	Expansion.Conjunction	and	Она стала меньше , менее детальная и чёткая	Мы ещё можем видеть маленькую луну , но давайте отдалимся опять десятикратно
Explicit	Expansion.Conjunction	но	Мы ещё можем видеть маленькую луну	давайте отдалимся опять десятикратно
