rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Conjunction	and	The universe is teeming with planets	I want us, in the next decade, to build a space telescope that'll be able to image an Earth about another star and figure out whether it can harbor life
Explicit	Expansion.Conjunction	and	to image an Earth about another star	figure out whether it can harbor life
Implicit	Expansion.Level-of-detail.Arg2-as-detail	accordingly	I want us, in the next decade, to build a space telescope that'll be able to image an Earth about another star and figure out whether it can harbor life	My colleagues at the NASA Jet Propulsion Laboratory at Princeton and I are working on technology that will be able to do just that in the coming years
Explicit	Expansion.Conjunction	and	Astronomers now believe that every star in the galaxy has a planet	they speculate that up to one fifth of them have an Earth-like planet that might be able to harbor life
Explicit	Comparison.Concession.Arg2-as-denier	but	Astronomers now believe that every star in the galaxy has a planet, and they speculate that up to one fifth of them have an Earth-like planet that might be able to harbor life	we haven't seen any of them
Implicit	Expansion.Substitution.Arg2-as-subst	rather	we haven't seen any of them	We've only detected them indirectly
Explicit	Temporal.Synchronous	when	It was taken by the Voyager spacecraft in 1990	they turned it around as it was exiting the solar system to take a picture of the Earth from six billion kilometers away
Explicit	Temporal.Synchronous	as	they turned it around	it was exiting the solar system to take a picture of the Earth from six billion kilometers away
Implicit	Comparison.Similarity	similarly	It was taken by the Voyager spacecraft in 1990, when they turned it around as it was exiting the solar system to take a picture of the Earth from six billion kilometers away	I want to take that of an Earth-like planet about another star
Implicit	Comparison.Concession.Arg2-as-denier	but	I want to take that of an Earth-like planet about another star	Why haven't we done that
Implicit	Expansion.Conjunction	and	Why haven't we done that	Why is that hard
AltLex	Hypophora	Why	to see, let's imagine we take the Hubble Space Telescope and we turn it around and we move it out to the orbit of Mars. We'll see something like that, a slightly blurry picture of the Earth, because we're a fairly small telescope out at the orbit of Mars. Now let's move ten times further away. Here we are at the orbit of Uranus. It's gotten smaller, it's got less detail, less resolve. We can still see the little moon, but let's go ten times further away again. Here we are at the edge of the solar system, out at the Kuiper Belt. Now it's not resolved at all. It's that pale blue dot of Carl Sagan's. But let's move yet again ten times further away. Here we are out at the Oort Cloud, outside the solar system, and we're starting to see the sun move into the field of view and get into where the planet is. One more time, ten times further away. Now we're at Alpha Centauri, our nearest neighbor star, and the planet is gone. All we're seeing is the big beaming image of the star that's ten billion times brighter than the planet, which should be in that little red circle. That's what we want to see. That's why it's hard. The light from the star is diffracting. It's scattering inside the telescope, creating that very bright image that washes out the planet	Why is that hard
Implicit	Contingency.Cause.Reason	because	Why is that hard	to see, let's imagine we take the Hubble Space Telescope and we turn it around and we move it out to the orbit of Mars. We'll see something like that, a slightly blurry picture of the Earth, because we're a fairly small telescope out at the orbit of Mars. Now let's move ten times further away. Here we are at the orbit of Uranus. It's gotten smaller, it's got less detail, less resolve. We can still see the little moon, but let's go ten times further away again. Here we are at the edge of the solar system, out at the Kuiper Belt. Now it's not resolved at all. It's that pale blue dot of Carl Sagan's. But let's move yet again ten times further away. Here we are out at the Oort Cloud, outside the solar system, and we're starting to see the sun move into the field of view and get into where the planet is. One more time, ten times further away. Now we're at Alpha Centauri, our nearest neighbor star, and the planet is gone. All we're seeing is the big beaming image of the star that's ten billion times brighter than the planet, which should be in that little red circle. That's what we want to see. That's why it's hard. The light from the star is diffracting. It's scattering inside the telescope, creating that very bright image that washes out the planet
AltLex	Contingency.Condition.Arg2-as-cond	let's imagine	We'll see something like that, a slightly blurry picture of the Earth	we take the Hubble Space Telescope and we turn it around and we move it out to the orbit of Mars
Explicit	Expansion.Conjunction	and	we take the Hubble Space Telescope	we turn it around
Implicit	Temporal.Asynchronous.Precedence	then	we take the Hubble Space Telescope	and we turn it around
Explicit	Expansion.Conjunction	and	we turn it around	we move it out to the orbit of Mars
Implicit	Temporal.Asynchronous.Precedence	then	we turn it around	and we move it out to the orbit of Mars
Explicit	Contingency.Cause.Reason	because	We'll see something like that, a slightly blurry picture of the Earth	we're a fairly small telescope out at the orbit of Mars
AltLex	Temporal.Asynchronous.Precedence	Now	let's imagine we take the Hubble Space Telescope and we turn it around and we move it out to the orbit of Mars. We'll see something like that, a slightly blurry picture of the Earth, because we're a fairly small telescope out at the orbit of Mars	let's move ten times further away
Implicit	Contingency.Cause.Result	as a result	let's move ten times further away	we are at the orbit of Uranus
Implicit	Comparison.Concession.Arg2-as-denier	nevertheless	It's gotten smaller, it's got less detail, less resolve	We can still see the little moon
Explicit	Expansion.Conjunction	but	We can still see the little moon	let's go ten times further away again
Implicit	Contingency.Cause.Result	as a result	let's go ten times further away again	we are at the edge of the solar system, out at the Kuiper Belt
AltLex	Temporal.Synchronous	Now	we are at the edge of the solar system, out at the Kuiper Belt	it's not resolved at all
Implicit	Expansion.Equivalence	in other words	it's not resolved at all	It's that pale blue dot of Carl Sagan's
Explicit	Expansion.Conjunction	But	It's that pale blue dot of Carl Sagan's	let's move yet again ten times further away
Implicit	Contingency.Cause.Result	as a result	let's move yet again ten times further away	we are out at the Oort Cloud, outside the solar system
Explicit	Expansion.Conjunction	and	we are out at the Oort Cloud	we're starting to see the sun move into the field of view and get into where the planet is
Implicit	Contingency.Cause.Result	as a result	One more time, ten times further away	
Explicit	Expansion.Conjunction	and	we're at Alpha Centauri	the planet is gone
Implicit	Expansion.Conjunction	and	the planet is gone	All we're seeing is the big beaming image of the star that's ten billion times brighter than the planet
Explicit	Contingency.Cause.Reason	That's why	All we're seeing is the big beaming image of the star that's ten billion times brighter than the planet, which should be in that little red circle. That's what we want to see	it's hard
Implicit	Expansion.Conjunction	and	That's what we want to see	That's why it's hard
Implicit	Expansion.Level-of-detail.Arg2-as-detail	namely	That's why it's hard	The light from the star is diffracting
Implicit	Expansion.Conjunction	and	The light from the star is diffracting	It's scattering inside the telescope, creating that very bright image that washes out the planet
Explicit	Contingency.Cause.Result	So	It's scattering inside the telescope, creating that very bright image that washes out the planet	to see the planet, we have to do something about all of that light
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	to see the planet, we have to do something about all of that light	We have to get rid of it
Implicit	Expansion.Conjunction	and	We have to get rid of it	I have a lot of colleagues working on really amazing technologies to do that
