rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Man pasisekė	mano pirmasis darbas parengti Modernaus meno muziejuje tapytojos Elizabeth Murray darbų retrospektyvą
Implicit	Contingency.Cause.Reason	nes	Man pasisekė, kad mano pirmasis darbas parengti Modernaus meno muziejuje tapytojos Elizabeth Murray darbų retrospektyvą	Iš jos išmokau labai daug
Explicit	Temporal.Asynchronous.Succession	Kai	mane patraukė jos paveikslai tapyti aštuntajame dešimtmetyje	kuratorius Robert Storr atrinko visus paveikslus iš jos viso gyvenimo darbų rinkinio
Implicit	Contingency.Cause.Reason	nes	mane patraukė jos paveikslai tapyti aštuntajame dešimtmetyje	Tuo periodu atsirado kai kurie motyvai ir elementai, kurie vėliau vėl pasikartos jos gyvenime
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kai	Pamenu	jos klausiau
Explicit	Expansion.Level-of-detail.Arg2-as-detail	ką	jos klausiau	ji mano apie tuos ankstyvuosius darbus
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Nežinant	tai jos darbai
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Ji sakė	nemažai darbų ne visai sutapo su jos pačios vizija, kokius juos norėjo matyti
Implicit	Expansion.Instantiation	pavyzdziui	nemažai darbų ne visai sutapo su jos pačios vizija, kokius juos norėjo matyti	Vienas iš tų darbų netgi taip prieštaravo jos supratimui, kad ji nutrenkė jį į studijos šiulkšliadėžę
Explicit	Contingency.Cause.Result	kad	Vienas iš tų darbų netgi taip prieštaravo jos supratimui	ji nutrenkė jį į studijos šiulkšliadėžę
Explicit	Comparison.Contrast	O	ji nutrenkė jį į studijos šiulkšliadėžę	jos kaimynė jį ištraukė
Explicit	Contingency.Cause.Reason	nes	jos kaimynė jį ištraukė	laikė jį vertingu
Implicit	Contingency.Cause.Result	taigi	jos kaimynė jį ištraukė, nes laikė jį vertingu	Tą akimirką mano požiūris į sėkmę ir kūrybiškumą pasikeitė
Implicit	Expansion.Level-of-detail.Arg2-as-detail	trumpai tariant	Tą akimirką mano požiūris į sėkmę ir kūrybiškumą pasikeitė	Suvokiau, kad sėkmė tėra momentinė, o tai, ką mes visuomet šloviname, yra kūrybiškumas ir meistriškumas
