rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Contingency.Purpose.Arg2-as-goal	który	żebyśmy w następnej dekadzie zbudowali teleskop	pozwoli uchwycić Ziemię w pobliżu innej gwiazdy i odkryć, czy jest na niej życie
Implicit	Contingency.Cause.Reason	więc (so)	Chcę, żebyśmy w następnej dekadzie zbudowali teleskop, który pozwoli uchwycić Ziemię w pobliżu innej gwiazdy i odkryć, czy jest na niej życie	Razem z pracownikami Labolatorium Napędu Odrzutowego NASA w Princeton pracujemy nad technologią, która pozwoli to zrealizować w najbliższych latach
Explicit	Temporal.Synchronous	i	Obecnie astronomowie uważają, że każda gwiazda w galaktyce ma planetę	szacują, że nawet jedna na pięć ma planetę jak Ziemia
Explicit	Comparison.Similarity	jak	każda gwiazda w galaktyce ma planetę i szacują, że nawet jedna na pięć ma planetę	jak Ziemia, na której może istnieć życie
Explicit	Comparison.Contrast	ale	Obecnie astronomowie uważają, że każda gwiazda w galaktyce ma planetę i szacują, że nawet jedna na pięć ma planetę jak Ziemia, na której może istnieć życie	żadnej jeszcze nie widzieliśmy
Explicit	Temporal.Synchronous	kiedy	Zostało zrobione przez sondę Voyager w 1990 roku,	opuszczała Układ Słoneczny obrócono ją, aby zrobiła zdjęcie Ziemi z odległości 6 miliardów kilometrów
Explicit	Contingency.Purpose.Arg2-as-goal	aby	obrócono ją	zrobiła zdjęcie Ziemi z odległości 6 miliardów kilometrów
Implicit	Expansion.Level-of-detail	i (and)	Zostało zrobione przez sondę Voyager w 1990 roku, kiedy opuszczała Układ Słoneczny obrócono ją, aby zrobiła zdjęcie Ziemi z odległości 6 miliardów kilometrów	Chcę zrobić takie zdjęcie planety w pobliżu innej gwiazdy
Implicit	Contingency.Cause.Result	i w efekcie	Wyobraźmy sobie, że bierzemy Kosmiczny Teleskop Hubble'a, obracamy go i przenosimy na orbitę Marsa	Zobaczymy coś takiego, nieco rozmazany obraz Ziemi, bo to dość mały teleskop na orbicie Marsa
Explicit	Contingency.Cause.Reason	bo	Zobaczymy coś takiego, nieco rozmazany obraz Ziemi	to dość mały teleskop na orbicie Marsa
